labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	settings
CO1 0_1,	1,	2.02,	34.8,	2.51,	1,	2023
CO1 2_3,	3,	2.47,	35.27,	2.61,	1,	1
CO1 4_5,	5,	2.55,	20.82,	1.62,	1,	0
CO1 6_7,	7,	2.12,	16.48,	1.25,	1,	
CO1 8_9,	9,	1.14,	20.54,	1.59,	1,	
CO1 10_11,	11,	1.61,	21.43,	1.77,	1,	
CO1 12_13,	13,	1.36,	22.04,	1.74,	1,	
CO1 14_15,	15,	1.4,	15.04,	1.15,	1,	
CO1 16_17,	17,	1.38,	17.01,	1.39,	1,	
CO1 18_19,	19,	1.57,	15.94,	1.33,	1,	
CO1 22_23,	23,	1.26,	15.67,	1.21,	1,	
CO1 26_27,	27,	1.19,	15.11,	1.1,	1,	
CO1 30_31,	31,	1.38,	17.9,	1.4,	1,	
